character,episode_number,episode_title,quote,season,tokening,emotions,polaridad,subjetividad,neg,neu,pos,compound
Chandler,13,Chandler Takes A Bath,"Okay. (As soon as Monica leaves the room, Chandler takes off his jacket and runs to the bathroom. Monica enters the bathroom to find Chandler in the bathtub.)",8,okay soon monica leave room chandler take jacket run bathroom monica enter bathroom find chandler bathtub,"[0.5, 0.5, 0.07, 0.819, 0.111, 0.1779]",0.5,0.5,0.07,0.819,0.111,0.1779
Chandler,16,The Truth About London,And I was a perfect gentleman and I walked her to her hotel room and said goodnight.,7,perfect gentleman walk hotel room say goodnight,"[1.0, 1.0, 0.0, 0.619, 0.381, 0.5719]",1.0,1.0,0.0,0.619,0.381,0.5719
Rachel,9,They`re Going To Party,"Yes-yes, just a few seconds and she`d still be with usnothing about an assistant buyer?",4,yes yes second assistant buyer,"[0.0, 0.0, 0.0, 0.357, 0.643, 0.6597]",0.0,0.0,0.0,0.357,0.643,0.6597
Phoebe,13,Chandler Takes A Bath,(from outside the bathroom) You guys?,8,outside bathroom guy,"[0.0, 0.05, 0.0, 1.0, 0.0, 0.0]",0.0,0.05,0.0,1.0,0.0,0.0
Joey,7,Ross`s Library Book,"(still skeptical) Oh, and how is Allison?",7,skeptical oh allison,"[-0.5, 0.5, 0.535, 0.465, 0.0, -0.3182]",-0.5,0.5,0.535,0.465,0.0,-0.3182
Rachel,24,"The Proposal, Part I & II",Not great.,6,great,"[0.8, 0.75, 0.0, 0.0, 1.0, 0.6249]",0.8,0.75,0.0,0.0,1.0,0.6249
Monica,16,The Truth About London,"Okay, in we go.",7,okay,"[0.5, 0.5, 0.0, 0.0, 1.0, 0.2263]",0.5,0.5,0.0,0.0,1.0,0.2263
Rachel,4,Joey Loses His Insurance,Did-did you take these back?,6,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Ross,15,The Mugging,Oh my god. (He sighs) I never thought I`d see this again. (He browses trough the pages) It`s all here. What made you save it all these years?,9,oh god sigh think browse trough page save year,"[0.0, 0.0, 0.0, 0.484, 0.516, 0.6597]",0.0,0.0,0.0,0.484,0.516,0.6597
Rachel,21,Ross Meets Elizabeth`s Dad,Be-because the last one was such a big seller?,6,big seller,"[0.0, 0.1, 0.0, 1.0, 0.0, 0.0]",0.0,0.1,0.0,1.0,0.0,0.0
Rachel,15,Ross And Rachel Take A Break,(throws her stuff down) I was gonna give you a chance to apologise to me.,3,throw stuff going to chance apologise,"[0.0, 0.0, 0.0, 0.465, 0.535, 0.5574]",0.0,0.0,0.0,0.465,0.535,0.5574
Joey,13,Rosita Dies,"I told you not to move it! Rach, how would you feel if say, I wanted to move you mom, and you said don`t, and I did it anyway and her head fell off?",7,tell rach feel want mom say head fall,"[0.0, 0.0, 0.0, 0.843, 0.157, 0.0772]",0.0,0.0,0.0,0.843,0.157,0.0772
Rachel,16,"The Two Parts, Part I",Rachel,1,rachel,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Joey,4,Joey Loses His Insurance,"Yeah, but I don`t wanna die!",6,yeah wanna die,"[0.0, 0.0, 0.549, 0.141, 0.31, -0.4019]",0.0,0.0,0.549,0.141,0.31,-0.4019
Ross,23,The Birth,"Come on, come on. Damnit, damnit, damnit, damnit. (to Susan) This is all your fault. This is supposed to be, like, the greatest day of my life, y`know? My son is being born, and I should be in there, you know, instead of stuck in a closet with you.",1,come come damnit damnit damnit damnit susan fault suppose like great day life son bear know instead stick closet,"[0.8, 0.75, 0.467, 0.344, 0.189, -0.8658]",0.8,0.75,0.467,0.344,0.189,-0.8658
Phoebe,3,Hundredth,"Oh, okay, umm, hi kids! Um, it`s me, Aunt Phoebe. I can`t wait to see you. Please don`t hurt me!",5,oh okay umm hi kid um aunt phoebe wait hurt,"[0.5, 0.5, 0.256, 0.602, 0.143, -0.3612]",0.5,0.5,0.256,0.602,0.143,-0.3612
Chandler,4,The Ballroom Dancing,"Oh Maria. You can`t say no to her, she`s like this lycra spandex covered gymtreat.",4,oh maria like lycra spandex cover gym treat,"[0.0, 0.0, 0.0, 0.536, 0.464, 0.6369]",0.0,0.0,0.0,0.536,0.464,0.6369
Phoebe,13,The Boobies,(entering) Hey.,1,enter hey,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Phoebe,6,The Yeti,Why?,5,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Rachel,1,Joey and Rachel Kiss,Hi!,10,hi,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Joey,18,The Lottery,"I won, hey!",9,win hey,"[0.8, 0.4, 0.0, 0.208, 0.792, 0.5859]",0.8,0.4,0.0,0.208,0.792,0.5859
Chandler,3,The Pediatrician,He saw a therapist?,9,see therapist,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,14,Princess Consuela,"Oh it... good! Yeah, but I`m not gonna hear from that for a couple of days.",10,oh good yeah going to hear couple day,"[0.7, 0.6000000000000001, 0.0, 0.541, 0.459, 0.6249]",0.7,0.6000000000000001,0.0,0.541,0.459,0.6249
Rachel,20,The Evil Orthodontist,Wow... Wow!,1,wow wow,"[0.1, 1.0, 0.0, 0.0, 1.0, 0.8225]",0.1,1.0,0.0,0.0,1.0,0.8225
Monica,14,The Candy Hearts,"Oh, hi, Ross. Yeah. There`s someone I want you to say hi to. (to Chandler) He just happened to call.",1,oh hi ross yeah want hi chandler happen,"[0.0, 0.0, 0.0, 0.632, 0.368, 0.3612]",0.0,0.0,0.0,0.632,0.368,0.3612
Ross,22,Chandler`s Dad,Maybe it`s uh Sergeant Sagittarius coming back to flirt some more! (They pull over.),7,maybe uh sergeant sagittarius come flirt pull,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Phoebe,24,Barry And Mindy`s Wedding,"All right, stop it, you`re freaking me out.",2,right stop freak,"[0.2857142857142857, 0.5357142857142857, 0.836, 0.164, 0.0, -0.6249]",0.2857142857142857,0.5357142857142857,0.836,0.164,0.0,-0.6249
Ross,3,Hundredth,"You did it, man.",5,man,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,12,The Embryos,How many guesses do you get?,4,guess,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,20,uld Yeller Dies,There`s a game?,2,game,"[-0.4, 0.4, 0.0, 1.0, 0.0, 0.0]",-0.4,0.4,0.0,1.0,0.0,0.0
Joey,9,They`re Going To Party,"Really. And what do you mean you never have fun anymore? You have fun with me, remember that time we saw those strippers and you paid me 50 bucks to eat that book?",4,mean fun anymore fun remember time see stripper pay buck eat book,"[0.09583333333333333, 0.3625, 0.082, 0.529, 0.388, 0.7351]",0.09583333333333333,0.3625,0.082,0.529,0.388,0.7351
Joey,15,All The Rugby,"Ohh, Nothing.",4,ohh,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,18,All The Poker,"Well, you better hop outta the shower, cause... I gotta flush. (lays down cards)",1,well hop outta shower cause got to flush lay card,"[0.0, 0.0, 0.0, 0.811, 0.189, 0.2732]",0.0,0.0,0.0,0.811,0.189,0.2732
Monica,22,The Donor,"(excitedly) Oh my God, we`re gonna be parents!",9,excitedly oh god going to parent,"[0.375, 0.75, 0.0, 0.426, 0.574, 0.6597]",0.375,0.75,0.0,0.426,0.574,0.6597
Rachel,12,Chandler`s Work Laugh,Yeah! No that`s what I was thinking.,5,yeah think,"[0.0, 0.0, 0.0, 0.312, 0.688, 0.296]",0.0,0.0,0.0,0.312,0.688,0.296
Joey,8,The Late Thanksgiving,(realizing) Oh! That`s Alicia Mae Emory`s outfit!,10,realize oh alicia mae outfit,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,17,The Tea Leaves,"Oh that`s not important. The point is, I reallyI think everything`s gonna be okay.",8,oh important point think going to okay,"[0.45, 0.75, 0.0, 0.575, 0.425, 0.4019]",0.45,0.75,0.0,0.575,0.425,0.4019
Rachel,15,Ross And Rachel Take A Break,"Hi. Look um, about what happened earlier...",3,hi look um happen early,"[0.1, 0.3, 0.0, 1.0, 0.0, 0.0]",0.1,0.3,0.0,1.0,0.0,0.0
Chandler,20,The Ride Along,"Hey man, what`s up?",5,hey man,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
